epoch,train_loss,val_mse,lr,epoch_time_sec
1,0.000978,0.000052,1.89e-03,7.64
2,0.000060,,1.89e-03,6.52
3,0.000036,,1.89e-03,6.73
4,0.000032,,1.89e-03,6.91
5,0.000019,,1.89e-03,6.59
6,0.000023,,1.89e-03,7.26
7,0.000058,,1.89e-03,6.88
8,0.000015,,1.89e-03,7.15
9,0.000010,,1.89e-03,7.13
10,0.000012,0.000006,1.89e-03,7.12
11,0.000008,,1.89e-03,6.73
12,0.000007,,1.89e-03,6.70
13,0.000028,,1.89e-03,6.72
14,0.000008,,1.89e-03,6.75
15,0.000007,,1.89e-03,6.86
16,0.000014,,1.89e-03,7.33
17,0.000004,,1.89e-03,7.02
18,0.000006,,1.89e-03,7.09
19,0.000007,,1.89e-03,7.30
20,0.000004,0.000001,1.89e-03,7.24
21,0.000003,,1.89e-03,7.02
22,0.000011,,1.89e-03,7.47
23,0.000004,,1.89e-03,6.92
24,0.000003,,1.89e-03,6.99
25,0.000003,,1.89e-03,6.76
26,0.000008,,1.89e-03,6.82
27,0.000002,,1.89e-03,6.76
28,0.000003,,1.89e-03,6.99
29,0.000003,,1.89e-03,6.92
30,0.000003,0.000001,1.89e-03,6.63
31,0.000002,,1.89e-03,7.34
32,0.000009,,1.89e-03,7.67
33,0.000002,,1.89e-03,6.84
34,0.000002,,1.89e-03,6.81
35,0.000002,,1.89e-03,6.77
36,0.000002,,1.89e-03,7.17
37,0.000001,,1.89e-03,7.02
38,0.000002,,1.89e-03,6.93
39,0.000002,,1.89e-03,7.06
40,0.000030,0.000001,1.89e-03,7.28
41,0.000001,,1.89e-03,7.46
42,0.000002,,1.89e-03,7.25
43,0.000002,,1.89e-03,7.14
44,0.000002,,1.89e-03,7.03
45,0.000001,,1.89e-03,7.14
46,0.000011,,1.89e-03,7.33
47,0.000001,,1.89e-03,6.90
48,0.000002,,1.89e-03,6.81
49,0.000002,,1.89e-03,7.63
50,0.000001,0.000006,1.89e-03,6.98
51,0.000002,,1.89e-03,7.31
52,0.000001,,1.89e-03,7.12
53,0.000002,,1.89e-03,7.61
54,0.000002,,1.89e-03,7.42
55,0.000001,,1.89e-03,6.54
56,0.000005,,1.89e-03,6.90
